,id_post,fecha_publicacion,hora,categoria,impresiones,vistas,likes,comentarios,shares,longitud,mes,engagement,engage_pond,rango_longitud
55,56,2026-04-17 12:39:56,12,design,12273,9116,618,54,28,312,4,7.68,11.61,Corto
56,57,2026-03-21 13:26:52,13,tech,6347,5750,158,77,113,506,3,6.05,23.83,Medio
57,58,2026-08-08 15:37:19,15,tech,2639,2086,69,10,25,451,8,4.99,14.81,Medio
58,59,2026-04-03 06:23:08,6,tech,10675,9145,246,109,160,273,4,5.63,21.45,Corto
59,60,2026-03-28 16:38:11,16,design,12453,9106,616,64,37,331,3,7.87,12.83,Corto
60,61,2026-05-29 08:37:15,8,design,9741,9093,609,22,45,351,5,7.43,11.62,Corto
61,62,2026-04-27 14:13:16,14,tech,3173,2738,91,25,38,386,4,5.62,18.08,Medio
62,63,2026-03-20 16:14:57,16,design,7419,5491,316,21,23,410,3,6.56,10.64,Medio
63,64,2026-05-28 08:02:09,8,business,9728,7405,196,53,62,147,5,4.2,12.21,Muy Corto
64,65,2026-05-08 10:14:47,10,tech,94284,81324,2818,713,903,485,5,5.45,15.86,Medio
65,66,2026-07-02 12:59:55,12,business,2144,1606,19,12,14,151,7,2.8,11.15,Muy Corto
66,67,2026-05-08 09:14:24,9,tech,879,635,22,3,12,422,5,5.83,20.47,Medio
67,68,2026-02-23 11:41:56,11,business,3069,2045,50,19,9,159,2,3.81,9.68,Muy Corto
68,69,2026-03-10 19:48:02,19,tech,13562,10465,291,95,156,544,3,5.18,18.34,Medio
69,70,2026-06-12 07:07:39,7,tech,13680,11801,384,74,159,321,6,5.23,16.54,Corto
70,71,2026-04-18 08:55:53,8,design,2545,2159,177,6,9,373,4,8.89,12.64,Corto
71,72,2026-07-24 09:27:04,9,tech,3494,2585,59,17,34,506,7,4.26,15.44,Medio
72,73,2026-03-25 17:28:42,17,design,3859,3470,254,14,7,376,3,7.93,10.55,Medio
73,74,2026-03-07 18:27:48,18,tech,9372,6908,243,93,83,489,3,6.07,18.51,Medio
74,75,2026-05-25 12:07:25,12,business,25883,24334,618,117,242,121,5,4.01,12.42,Muy Corto
75,76,2026-08-09 17:43:53,17,tech,4027,2737,78,39,27,500,8,5.26,16.44,Medio
76,77,2026-08-04 16:00:53,16,design,2439,1642,135,10,5,226,8,9.14,13.09,Corto
77,78,2026-07-18 18:14:10,18,tech,22604,16048,533,208,271,442,7,6.31,22.02,Medio
78,79,2026-07-19 15:15:39,15,tech,2694,1867,64,26,31,301,7,6.48,22.28,Corto
79,80,2026-06-03 17:47:02,17,design,4869,3452,189,8,11,278,6,6.03,8.95,Corto
80,81,2026-05-19 13:17:37,13,tech,9618,8423,309,77,83,493,5,5.57,15.21,Medio
81,82,2026-07-22 19:31:52,19,tech,2863,2354,80,23,44,346,7,6.24,22.26,Corto
82,83,2026-06-16 13:44:07,13,tech,4319,3040,77,32,45,458,6,5.07,18.59,Medio
83,84,2026-07-16 20:16:11,20,business,6836,4926,115,22,29,161,7,3.37,8.83,Muy Corto
84,85,2026-06-28 14:23:11,14,tech,39034,31394,902,439,299,412,6,5.22,16.09,Medio
85,86,2026-05-22 10:42:11,10,design,8019,5594,363,21,30,266,5,7.4,12.28,Corto
86,87,2026-05-11 11:41:17,11,tech,4230,3284,77,38,39,526,5,4.69,16.47,Medio
87,88,2026-05-25 19:55:24,19,tech,3101,2581,60,32,40,388,5,5.11,19.68,Medio
88,89,2026-07-02 11:41:33,11,design,1325,944,65,4,3,262,7,7.63,11.12,Corto
89,90,2026-08-18 21:41:11,21,design,247,163,9,0,0,292,8,5.52,5.52,Corto
90,91,2026-04-06 16:39:34,16,business,4530,3498,49,25,24,155,4,2.8,9.75,Muy Corto
91,92,2026-07-20 05:13:13,5,design,4330,3970,217,14,19,365,7,6.3,10.71,Corto
92,93,2026-05-03 17:40:54,17,design,5921,4146,333,9,16,281,5,8.63,11.99,Corto
93,94,2026-07-18 14:40:08,14,design,4154,3456,307,20,19,336,7,10.01,15.6,Corto
94,95,2026-07-03 17:29:46,17,tech,974,777,16,4,9,402,7,3.73,13.38,Medio
95,96,2026-03-28 12:44:00,12,tech,11884,8949,354,105,90,285,3,6.13,16.69,Corto
96,97,2026-03-27 09:30:02,9,design,6685,6273,418,47,16,210,3,7.67,11.7,Corto
97,98,2026-04-24 08:14:31,8,business,11107,8552,200,37,53,93,4,3.39,9.03,Muy Corto
98,99,2026-05-20 18:40:25,18,tech,9514,8930,196,59,177,530,5,4.84,20.69,Medio
99,100,2026-08-12 19:01:00,19,tech,1479,1088,22,12,21,264,8,5.06,21.88,Corto
100,101,2026-04-09 08:42:50,8,tech,14519,12570,497,178,203,275,4,6.98,22.54,Corto
101,102,2026-04-13 14:59:06,14,tech,4155,3242,104,27,56,315,4,5.77,20.36,Corto
102,103,2026-03-21 18:20:37,18,tech,7327,5220,148,50,73,455,3,5.19,17.85,Medio
103,104,2026-06-01 15:19:55,15,tech,6959,5811,190,78,98,538,6,6.3,22.13,Medio
104,105,2026-06-05 16:34:46,16,tech,12965,10500,390,86,100,481,6,5.49,14.61,Medio
105,106,2026-05-02 05:21:18,5,business,7870,6653,155,44,54,167,5,3.8,11.47,Muy Corto
106,107,2026-06-15 16:49:16,16,tech,25036,20172,724,241,349,392,6,6.51,22.21,Medio
107,108,2026-07-13 08:16:56,8,business,8351,5433,101,18,39,131,7,2.91,8.93,Muy Corto
108,109,2026-04-14 13:19:56,13,design,7675,6958,615,36,29,302,4,9.77,14.24,Corto
109,110,2026-06-18 11:17:02,11,design,58837,49120,4194,98,232,326,6,9.21,13.11,Corto
110,111,2026-05-14 18:24:50,18,tech,32678,30995,767,358,414,416,5,4.97,17.78,Medio
111,112,2026-03-25 15:29:48,15,business,2195,2066,61,17,9,150,3,4.21,9.73,Muy Corto
112,113,2026-05-01 20:49:46,20,tech,758,618,17,7,10,285,5,5.5,20.23,Corto
113,114,2026-08-06 21:58:50,21,design,15181,11222,734,67,31,333,8,7.41,11.14,Corto
114,115,2026-06-14 08:07:40,8,business,14344,10074,291,51,80,165,6,4.19,11.27,Muy Corto
115,116,2026-06-02 18:00:39,18,tech,6910,4797,139,57,40,360,6,4.92,14.32,Corto
116,117,2026-06-14 07:23:29,7,tech,4494,3084,70,26,36,513,6,4.28,14.98,Medio
117,118,2026-03-22 16:27:07,16,tech,2125,1469,48,17,25,410,3,6.13,21.51,Medio
118,119,2026-07-30 23:43:31,23,tech,3712,2545,75,13,24,496,7,4.4,12.53,Medio
119,120,2026-05-08 08:47:02,8,business,6876,6317,150,32,53,172,5,3.72,11.11,Muy Corto
120,121,2026-08-01 11:20:57,11,business,6004,5127,53,40,50,172,8,2.79,11.96,Muy Corto
121,122,2026-07-16 12:13:22,12,tech,19083,13867,491,89,252,442,7,6.0,20.65,Medio
122,123,2026-04-05 17:19:13,17,design,9609,8532,595,65,50,213,4,8.32,14.71,Corto
123,124,2026-05-26 09:02:51,9,design,2057,1545,128,10,4,333,5,9.19,12.94,Corto
124,125,2026-06-28 03:09:02,3,design,650,422,21,2,2,338,6,5.92,10.66,Corto
125,126,2026-03-21 09:01:05,9,tech,16923,12509,298,117,234,418,3,5.19,21.09,Medio
126,127,2026-06-10 09:14:21,9,business,3012,2071,43,16,10,172,6,3.33,9.03,Muy Corto
127,128,2026-04-19 14:59:42,14,business,2529,2107,54,20,9,103,4,3.94,9.78,Muy Corto
128,129,2026-04-04 10:30:20,10,design,2708,2455,220,14,6,300,4,9.78,13.2,Corto
129,130,2026-03-21 08:34:10,8,tech,4744,3143,75,29,41,285,3,4.61,16.51,Corto
130,131,2026-03-03 16:53:01,16,design,1934,1619,105,11,3,352,3,7.35,10.69,Corto
131,132,2026-08-15 07:05:11,7,business,11360,9957,168,47,55,178,8,2.71,7.99,Muy Corto
132,133,2026-03-21 18:09:10,18,design,3519,2893,223,10,15,293,3,8.57,13.24,Corto
133,134,2026-06-14 13:03:21,13,design,6507,4253,346,24,14,400,6,9.03,13.03,Medio
134,135,2026-04-14 17:05:36,17,tech,3160,2889,70,38,36,352,4,4.98,17.65,Corto
135,136,2026-05-17 12:07:14,12,design,1619,1524,108,3,3,369,5,7.48,9.45,Corto
136,137,2026-03-18 07:47:21,7,design,10042,9267,553,33,38,274,3,6.73,10.67,Corto
137,138,2026-03-02 15:29:47,15,tech,17189,14108,563,177,156,306,3,6.35,17.86,Corto
138,139,2026-03-17 18:31:02,18,tech,1418,1205,26,6,9,503,3,3.4,10.12,Medio
139,140,2026-06-14 09:34:31,9,tech,616,415,10,4,7,401,6,5.06,19.76,Medio
140,141,2026-05-03 12:57:58,12,tech,12530,10583,370,151,176,553,5,6.59,22.51,Largo
141,142,2026-02-28 10:13:23,10,design,768,673,51,2,1,251,2,8.02,9.96,Corto
142,143,2026-05-09 15:39:08,15,tech,2577,1845,67,23,34,337,5,6.72,23.36,Corto
143,144,2026-05-31 06:02:49,6,business,9181,7229,81,29,68,127,5,2.46,10.25,Muy Corto
144,145,2026-03-04 17:50:45,17,business,31293,23460,696,176,211,162,3,4.62,13.16,Muy Corto
145,146,2026-06-06 11:52:00,11,design,1699,1334,67,8,5,268,6,6.0,10.42,Corto
146,147,2026-07-20 00:58:16,0,tech,6686,4897,155,68,94,431,7,6.47,24.08,Medio
147,148,2026-08-10 15:45:18,15,tech,8292,7419,203,52,100,524,8,4.79,16.32,Medio
148,149,2026-07-29 17:27:44,17,tech,8940,6483,168,76,58,418,7,4.66,14.44,Medio
149,150,2026-07-11 15:45:37,15,business,6242,5621,69,30,24,123,7,2.19,6.78,Muy Corto
150,151,2026-06-12 09:56:50,9,design,3008,2203,134,10,10,283,6,6.99,11.53,Corto
151,152,2026-04-20 21:48:48,21,design,1146,992,80,7,3,308,4,9.07,13.31,Corto
152,153,2026-06-09 08:52:13,8,business,31394,27951,720,123,162,137,6,3.6,8.97,Muy Corto
153,154,2026-07-16 14:10:27,14,business,9968,9093,195,39,74,119,7,3.39,10.37,Muy Corto
154,155,2026-02-23 11:58:59,11,tech,459,336,8,2,3,511,2,3.87,11.9,Medio
155,156,2026-03-23 10:13:57,10,design,29365,27760,1569,181,117,254,3,6.73,11.63,Corto
156,157,2026-06-10 10:29:43,10,tech,2139,1677,64,15,29,399,6,6.44,21.23,Medio
157,158,2026-02-28 20:15:25,20,design,3984,2993,209,19,12,254,2,8.02,12.73,Corto
158,159,2026-04-26 09:10:33,9,design,2725,1987,173,13,4,310,4,9.56,12.93,Corto
159,160,2026-03-14 08:04:38,8,tech,12053,11085,264,57,145,473,3,4.2,14.9,Medio
160,161,2026-05-07 09:46:05,9,design,16198,13672,727,92,69,280,5,6.5,12.05,Corto
161,162,2026-07-02 02:30:01,2,tech,153,128,3,0,1,361,7,3.12,8.59,Corto
162,163,2026-02-23 11:57:37,11,design,70735,53847,3918,213,169,222,2,7.99,11.37,Corto
163,164,2026-02-21 18:20:31,18,tech,2358,1786,38,23,15,359,2,4.26,14.0,Corto
164,165,2026-03-31 14:14:24,14,design,3319,2694,219,14,15,341,3,9.21,14.66,Corto
165,166,2026-05-09 17:09:57,17,design,18055,16054,1049,126,41,276,5,7.57,11.72,Corto
166,167,2026-08-11 15:19:57,15,business,196,131,2,0,0,203,8,1.53,1.53,Corto
167,168,2026-05-27 07:46:22,7,business,4897,3405,93,31,20,136,5,4.23,11.07,Muy Corto
168,169,2026-05-19 10:09:14,10,design,17587,12174,1027,32,53,344,5,9.13,12.97,Corto
169,170,2026-07-15 08:51:51,8,design,9926,9398,601,29,39,280,7,7.12,10.95,Corto
170,171,2026-03-31 09:22:11,9,design,9602,8019,415,55,23,302,3,6.15,10.21,Corto
171,172,2026-07-10 01:38:05,1,tech,3197,3008,100,24,27,454,7,5.02,13.7,Medio
172,173,2026-03-18 08:00:49,8,design,4526,3886,316,12,23,278,3,9.03,14.1,Corto
173,174,2026-04-25 12:20:03,12,business,3265,2430,66,17,13,140,4,3.95,9.79,Muy Corto
174,175,2026-07-27 08:37:42,8,business,9679,9057,239,31,87,115,7,3.94,11.69,Muy Corto
175,176,2026-05-31 14:00:56,14,tech,4330,3872,154,30,51,378,5,6.07,17.61,Medio
176,177,2026-04-14 20:03:52,20,business,1251,1064,20,9,4,112,4,3.1,8.27,Muy Corto
177,178,2026-07-08 14:50:45,14,design,14694,9785,728,26,30,302,7,8.01,10.96,Corto
178,179,2026-06-28 13:02:36,13,tech,2207,2030,72,27,39,466,6,6.8,24.24,Medio
179,180,2026-04-20 11:46:39,11,design,10923,9267,473,28,40,280,4,5.84,9.77,Corto
180,181,2026-03-10 12:20:53,12,design,5229,4112,222,25,21,367,3,6.52,11.92,Corto
181,182,2026-03-08 17:33:16,17,business,1716,1355,24,6,12,132,3,3.1,10.63,Muy Corto
182,183,2026-07-28 18:36:43,18,tech,1706,1161,39,9,14,473,7,5.34,16.11,Medio
183,184,2026-08-01 17:23:58,17,tech,631,489,12,2,4,400,8,3.68,10.63,Medio
184,185,2026-07-15 17:47:05,17,tech,5331,4065,92,50,58,560,7,4.92,18.6,Largo
185,186,2026-08-05 09:05:49,9,business,13218,8781,154,65,62,98,8,3.2,10.36,Muy Corto
186,187,2026-04-14 13:39:02,13,tech,40028,26666,845,354,389,272,4,5.96,20.15,Corto
187,188,2026-04-16 16:28:45,16,tech,569,377,14,3,4,346,4,5.57,15.38,Corto
188,189,2026-07-13 18:05:20,18,tech,19393,12617,489,188,120,504,7,6.32,17.44,Medio
189,190,2026-05-20 18:07:47,18,tech,3390,2785,97,17,32,416,5,5.24,15.12,Medio
190,191,2026-03-11 19:40:01,19,design,17011,14513,1238,35,41,309,3,9.05,11.75,Corto
191,192,2026-04-10 10:11:10,10,tech,563,510,12,5,7,470,4,4.71,17.25,Medio
192,193,2026-08-02 23:44:09,23,business,947,690,17,3,3,175,8,3.33,7.68,Muy Corto
193,194,2026-06-22 16:16:34,16,design,520,463,29,1,1,361,6,6.7,8.86,Corto
194,195,2026-02-23 11:09:17,11,tech,3069,2411,90,29,44,334,2,6.76,23.14,Corto
195,196,2026-03-24 09:20:54,9,design,4273,4015,344,29,20,281,3,9.79,15.44,Corto
196,197,2026-07-07 18:36:42,18,tech,5202,3940,125,28,65,462,7,5.53,19.21,Medio
197,198,2026-08-16 02:10:40,2,tech,560,411,12,2,5,295,8,4.62,14.6,Corto
198,199,2026-05-13 09:46:24,9,design,575,434,32,1,2,270,5,8.06,11.98,Corto
199,200,2026-03-15 11:45:18,11,business,18443,13616,381,130,81,155,3,4.35,11.38,Muy Corto
200,201,2026-08-05 14:59:23,14,tech,8893,7035,277,102,73,395,8,6.43,18.04,Medio
201,202,2026-04-21 05:46:09,5,design,3346,2435,156,8,10,325,4,7.15,11.01,Corto
202,203,2026-07-02 13:19:10,13,business,4879,3230,36,13,25,150,7,2.29,8.92,Muy Corto
203,204,2026-05-13 05:39:52,5,tech,1485,1353,36,11,13,339,5,4.43,13.6,Corto
204,205,2026-02-22 14:56:15,14,tech,14395,12000,296,125,215,516,2,5.3,20.97,Medio
205,206,2026-04-11 17:58:37,17,tech,1519,1018,35,7,16,538,4,5.7,18.76,Medio
206,207,2026-08-10 09:50:05,9,tech,11699,8458,259,66,113,355,8,5.18,16.87,Corto
207,208,2026-06-18 12:16:10,12,design,19523,16471,1013,101,77,339,6,7.23,12.34,Corto
208,209,2026-07-02 11:49:30,11,tech,4697,3910,155,48,35,213,7,6.09,16.04,Corto
209,210,2026-08-06 08:04:10,8,business,5974,5337,111,43,50,97,8,3.82,12.8,Muy Corto
210,211,2026-08-12 08:47:50,8,design,2028,1686,150,3,4,221,8,9.31,11.51,Corto
211,212,2026-04-16 17:04:06,17,design,12688,9076,757,44,38,379,4,9.24,13.63,Medio
212,213,2026-04-14 21:12:43,21,tech,20871,14606,405,149,145,384,4,4.79,14.8,Medio
213,214,2026-03-31 08:49:10,8,design,1063,754,50,3,2,284,3,7.29,10.34,Corto
214,215,2026-08-18 00:06:49,0,business,5619,4403,79,40,20,171,8,3.16,9.06,Muy Corto
215,216,2026-05-10 19:04:29,19,business,886,609,10,2,5,137,5,2.79,9.52,Muy Corto
216,217,2026-04-17 10:03:34,10,design,8229,7023,623,30,18,349,4,9.55,12.63,Corto
217,218,2026-03-27 17:24:58,17,business,6706,5779,107,52,51,171,3,3.63,12.51,Muy Corto
218,219,2026-03-03 17:49:20,17,business,13650,11254,280,89,52,187,3,3.74,9.35,Muy Corto
219,220,2026-05-17 08:38:28,8,design,1586,1304,68,4,4,262,5,5.83,8.9,Corto
220,221,2026-02-25 05:37:36,5,tech,351,270,5,3,4,442,2,4.44,18.15,Medio
221,222,2026-03-04 17:30:47,17,tech,5632,4186,135,58,72,376,3,6.33,22.53,Medio
222,223,2026-04-28 20:26:51,20,tech,2575,1899,68,14,31,354,4,5.95,19.59,Corto
223,224,2026-03-13 09:07:33,9,tech,8971,6038,189,41,97,432,3,5.42,18.7,Medio
224,225,2026-08-15 15:31:12,15,design,5371,4235,316,33,8,292,8,8.43,12.09,Corto
225,226,2026-07-01 10:22:32,10,tech,1573,1037,23,8,15,270,7,4.44,16.88,Corto
226,227,2026-03-17 13:06:19,13,design,3959,3597,319,18,19,374,3,9.9,15.1,Corto
227,228,2026-07-25 12:17:53,12,design,1795,1193,98,2,5,237,7,8.8,12.24,Corto
228,229,2026-06-11 11:51:56,11,business,34437,28682,371,114,140,104,6,2.18,6.79,Muy Corto
229,230,2026-08-15 17:24:34,17,business,548,404,5,3,2,178,8,2.48,8.17,Muy Corto
230,231,2026-03-04 22:01:00,22,tech,3599,2943,82,42,33,245,3,5.33,17.47,Corto
231,232,2026-02-28 17:15:29,17,tech,4841,3373,96,41,44,542,2,5.37,18.14,Medio
232,233,2026-08-03 12:49:01,12,business,1429,983,24,3,7,149,8,3.46,9.36,Muy Corto
233,234,2026-07-16 11:10:57,11,design,6968,6507,390,41,16,274,7,6.87,10.48,Corto
234,235,2026-02-21 09:52:49,9,tech,5095,4731,162,48,69,556,2,5.9,19.15,Largo
235,236,2026-06-26 18:06:55,18,design,2845,2220,121,5,7,323,6,5.99,8.87,Corto
236,237,2026-05-21 09:45:22,9,design,2378,2159,189,11,5,306,5,9.5,12.64,Corto
237,238,2026-04-24 08:29:10,8,tech,5563,4850,191,26,69,593,4,5.9,17.46,Largo
238,239,2026-06-13 11:54:20,11,business,31880,26834,743,154,223,94,6,4.17,11.71,Muy Corto
239,240,2026-02-22 17:01:50,17,tech,30788,25436,738,183,299,257,2,4.8,15.18,Corto
240,241,2026-04-08 14:05:02,14,business,2934,2675,54,24,10,118,4,3.29,8.6,Muy Corto
241,242,2026-07-12 05:46:15,5,tech,276,228,7,2,2,328,7,4.82,13.6,Corto
242,243,2026-05-02 11:09:21,11,tech,686,649,20,7,5,361,5,4.93,13.56,Corto
243,244,2026-04-09 08:09:30,8,tech,14797,9656,364,64,132,357,4,5.8,17.36,Corto
244,245,2026-08-13 12:19:18,12,design,8038,6716,491,29,18,326,8,8.01,11.18,Corto
245,246,2026-04-28 08:05:27,8,business,9668,6340,80,60,32,148,4,2.71,9.09,Muy Corto
246,247,2026-08-14 16:54:36,16,tech,14522,10996,270,107,103,388,8,4.37,13.84,Medio
247,248,2026-04-23 15:57:46,15,business,2235,1534,34,10,13,149,4,3.72,11.6,Muy Corto
248,249,2026-05-11 18:47:03,18,business,14373,11721,174,95,112,129,5,3.25,12.37,Muy Corto
249,250,2026-04-02 10:26:02,10,design,843,634,34,1,3,357,4,5.99,9.78,Corto
250,251,2026-05-27 15:02:41,15,tech,1500,1011,34,7,9,421,5,4.95,13.25,Medio
251,252,2026-06-07 08:16:11,8,tech,10917,7341,243,108,123,292,6,6.46,22.6,Corto
252,253,2026-02-21 14:55:54,14,business,5801,4702,47,31,30,135,2,2.3,8.74,Muy Corto
253,254,2026-06-14 18:34:17,18,business,20800,16703,338,151,152,146,6,3.84,12.92,Muy Corto
254,255,2026-03-28 09:53:12,9,tech,8645,6798,240,57,134,580,3,6.34,22.65,Largo
255,256,2026-05-20 10:37:06,10,design,4434,3197,264,12,17,411,5,9.16,14.01,Medio
256,257,2026-08-10 18:41:24,18,business,11659,10143,141,30,64,75,8,2.32,7.62,Muy Corto
257,258,2026-05-07 12:28:57,12,design,1425,1001,65,5,3,351,5,7.29,10.89,Corto
258,259,2026-06-03 08:25:40,8,tech,11199,10627,260,112,102,346,6,4.46,14.34,Corto
259,260,2026-03-25 19:37:17,19,design,3362,3178,204,13,11,383,3,7.17,10.82,Medio
260,261,2026-07-09 15:13:38,15,tech,1318,1120,29,6,14,550,7,4.38,14.73,Largo
261,262,2026-06-18 09:13:18,9,tech,9332,8451,327,55,113,392,6,5.86,17.17,Medio
262,263,2026-08-09 10:33:43,10,tech,12710,8458,191,103,108,513,8,4.75,17.34,Medio
263,264,2026-04-08 13:17:11,13,design,269,236,13,0,1,223,4,5.93,8.9,Corto
264,265,2026-03-23 23:09:21,23,tech,30931,25611,825,360,291,481,3,5.76,17.93,Medio
265,266,2026-07-10 21:03:48,21,design,2589,1702,119,5,10,253,7,7.87,12.87,Corto
266,267,2026-02-22 19:29:24,19,business,2124,1990,27,10,10,165,2,2.36,7.39,Muy Corto
267,268,2026-07-18 17:43:02,17,business,6103,4114,48,40,21,148,7,2.65,9.14,Muy Corto
268,269,2026-08-02 18:56:10,18,design,1381,1177,103,8,3,331,8,9.69,13.51,Corto
269,270,2026-03-14 04:08:25,4,design,11387,8400,713,38,26,259,3,9.25,12.77,Corto
270,271,2026-04-05 15:06:53,15,tech,826,552,21,6,6,482,4,5.98,16.85,Medio
271,272,2026-06-20 14:01:21,14,design,681,598,43,4,1,276,6,8.03,11.2,Corto
272,273,2026-04-30 07:05:40,7,tech,1534,1189,29,7,15,354,4,4.29,14.89,Corto
273,274,2026-02-27 10:31:01,10,business,5816,4883,119,23,34,165,2,3.6,9.89,Muy Corto
274,275,2026-05-16 13:16:39,13,tech,7439,5740,222,35,70,402,5,5.7,16.06,Medio
275,276,2026-07-19 17:38:05,17,design,7358,4921,272,30,16,361,7,6.46,10.57,Corto
276,277,2026-05-05 09:50:29,9,design,406,317,23,1,1,291,5,7.89,11.04,Corto
