id_post,fecha_publicacion,hora,categoria,impresiones,vistas,likes,comentarios,shares,longitud
39,2026-07-11 17:11:36,17,business,36812,32670,893,153,206,170
40,2026-07-22 17:43:24,17,tech,20000,16662,516,248,207,441
41,2026-03-11 09:00:28,9,design,7389,4970,322,26,17,286
42,2026-05-25 14:23:35,14,tech,1760,1343,53,10,11,493
43,2026-08-11 13:47:43,13,tech,12195,9957,377,129,185,424
44,2026-04-30 12:45:09,12,design,728,483,33,2,2,287
45,2026-04-13 10:51:59,10,tech,1032,801,21,8,7,348
46,2026-05-15 17:57:31,17,tech,3686,2781,95,40,40,461
47,2026-08-01 03:57:24,3,design,1587,1080,92,4,2,318
48,2026-04-21 22:33:46,22,business,2788,1843,26,8,11,111
49,2026-04-29 11:21:03,11,tech,3483,2994,75,33,47,397
50,2026-07-23 17:44:32,17,tech,14840,13407,327,114,182,179
51,2026-05-17 18:30:04,18,business,2154,1552,30,6,7,172
52,2026-07-14 08:22:34,8,design,5017,4675,283,33,25,320
53,2026-06-09 19:22:28,19,tech,2691,2123,78,27,42,512
54,2026-06-26 18:46:51,18,business,1826,1689,44,7,15,199
55,2026-06-07 09:06:36,9,design,1913,1681,118,7,9,258
56,2026-04-17 12:39:56,12,design,12273,9116,618,54,28,312
57,2026-03-21 13:26:52,13,tech,6347,5750,158,77,113,506
58,2026-08-08 15:37:19,15,tech,2639,2086,69,10,25,451
59,2026-04-03 06:23:08,6,tech,10675,9145,246,109,160,273
60,2026-03-28 16:38:11,16,design,12453,9106,616,64,37,331
61,2026-05-29 08:37:15,8,design,9741,9093,609,22,45,351
62,2026-04-27 14:13:16,14,tech,3173,2738,91,25,38,386
63,2026-03-20 16:14:57,16,design,7419,5491,316,21,23,410
64,2026-05-28 08:02:09,8,business,9728,7405,196,53,62,147
65,2026-05-08 10:14:47,10,tech,94284,81324,2818,713,903,485
66,2026-07-02 12:59:55,12,business,2144,1606,19,12,14,151
67,2026-05-08 09:14:24,9,tech,879,635,22,3,12,422
68,2026-02-23 11:41:56,11,business,3069,2045,50,19,9,159
69,2026-03-10 19:48:02,19,tech,13562,10465,291,95,156,544
70,2026-06-12 07:07:39,7,tech,13680,11801,384,74,159,321
71,2026-04-18 08:55:53,8,design,2545,2159,177,6,9,373
72,2026-07-24 09:27:04,9,tech,3494,2585,59,17,34,506
73,2026-03-25 17:28:42,17,design,3859,3470,254,14,7,376
74,2026-03-07 18:27:48,18,tech,9372,6908,243,93,83,489
75,2026-05-25 12:07:25,12,business,25883,24334,618,117,242,121
76,2026-08-09 17:43:53,17,tech,4027,2737,78,39,27,500
77,2026-08-04 16:00:53,16,design,2439,1642,135,10,5,226
78,2026-07-18 18:14:10,18,tech,22604,16048,533,208,271,442
79,2026-07-19 15:15:39,15,tech,2694,1867,64,26,31,301
80,2026-06-03 17:47:02,17,design,4869,3452,189,8,11,278
81,2026-05-19 13:17:37,13,tech,9618,8423,309,77,83,493
82,2026-07-22 19:31:52,19,tech,2863,2354,80,23,44,346
83,2026-06-16 13:44:07,13,tech,4319,3040,77,32,45,458
84,2026-07-16 20:16:11,20,business,6836,4926,115,22,29,161
85,2026-06-28 14:23:11,14,tech,39034,31394,902,439,299,412
86,2026-05-22 10:42:11,10,design,8019,5594,363,21,30,266
87,2026-05-11 11:41:17,11,tech,4230,3284,77,38,39,526
88,2026-05-25 19:55:24,19,tech,3101,2581,60,32,40,388
89,2026-07-02 11:41:33,11,design,1325,944,65,4,3,262
90,2026-08-18 21:41:11,21,design,247,163,9,0,0,292
91,2026-04-06 16:39:34,16,business,4530,3498,49,25,24,155
92,2026-07-20 05:13:13,5,design,4330,3970,217,14,19,365
93,2026-05-03 17:40:54,17,design,5921,4146,333,9,16,281
94,2026-07-18 14:40:08,14,design,4154,3456,307,20,19,336
95,2026-07-03 17:29:46,17,tech,974,777,16,4,9,402
96,2026-03-28 12:44:00,12,tech,11884,8949,354,105,90,285
97,2026-03-27 09:30:02,9,design,6685,6273,418,47,16,210
98,2026-04-24 08:14:31,8,business,11107,8552,200,37,53,93
99,2026-05-20 18:40:25,18,tech,9514,8930,196,59,177,530
100,2026-08-12 19:01:00,19,tech,1479,1088,22,12,21,264
101,2026-04-09 08:42:50,8,tech,14519,12570,497,178,203,275
102,2026-04-13 14:59:06,14,tech,4155,3242,104,27,56,315
103,2026-03-21 18:20:37,18,tech,7327,5220,148,50,73,455
104,2026-06-01 15:19:55,15,tech,6959,5811,190,78,98,538
105,2026-06-05 16:34:46,16,tech,12965,10500,390,86,100,481
106,2026-05-02 05:21:18,5,business,7870,6653,155,44,54,167
107,2026-06-15 16:49:16,16,tech,25036,20172,724,241,349,392
108,2026-07-13 08:16:56,8,business,8351,5433,101,18,39,131
109,2026-04-14 13:19:56,13,design,7675,6958,615,36,29,302
110,2026-06-18 11:17:02,11,design,58837,49120,4194,98,232,326
111,2026-05-14 18:24:50,18,tech,32678,30995,767,358,414,416
112,2026-03-25 15:29:48,15,business,2195,2066,61,17,9,150
113,2026-05-01 20:49:46,20,tech,758,618,17,7,10,285
114,2026-08-06 21:58:50,21,design,15181,11222,734,67,31,333
115,2026-06-14 08:07:40,8,business,14344,10074,291,51,80,165
116,2026-06-02 18:00:39,18,tech,6910,4797,139,57,40,360
117,2026-06-14 07:23:29,7,tech,4494,3084,70,26,36,513
118,2026-03-22 16:27:07,16,tech,2125,1469,48,17,25,410
119,2026-07-30 23:43:31,23,tech,3712,2545,75,13,24,496
120,2026-05-08 08:47:02,8,business,6876,6317,150,32,53,172
121,2026-08-01 11:20:57,11,business,6004,5127,53,40,50,172
122,2026-07-16 12:13:22,12,tech,19083,13867,491,89,252,442
123,2026-04-05 17:19:13,17,design,9609,8532,595,65,50,213
124,2026-05-26 09:02:51,9,design,2057,1545,128,10,4,333
125,2026-06-28 03:09:02,3,design,650,422,21,2,2,338
126,2026-03-21 09:01:05,9,tech,16923,12509,298,117,234,418
127,2026-06-10 09:14:21,9,business,3012,2071,43,16,10,172
128,2026-04-19 14:59:42,14,business,2529,2107,54,20,9,103
129,2026-04-04 10:30:20,10,design,2708,2455,220,14,6,300
130,2026-03-21 08:34:10,8,tech,4744,3143,75,29,41,285
131,2026-03-03 16:53:01,16,design,1934,1619,105,11,3,352
132,2026-08-15 07:05:11,7,business,11360,9957,168,47,55,178
133,2026-03-21 18:09:10,18,design,3519,2893,223,10,15,293
134,2026-06-14 13:03:21,13,design,6507,4253,346,24,14,400
135,2026-04-14 17:05:36,17,tech,3160,2889,70,38,36,352
136,2026-05-17 12:07:14,12,design,1619,1524,108,3,3,369
137,2026-03-18 07:47:21,7,design,10042,9267,553,33,38,274
138,2026-03-02 15:29:47,15,tech,17189,14108,563,177,156,306
139,2026-03-17 18:31:02,18,tech,1418,1205,26,6,9,503
140,2026-06-14 09:34:31,9,tech,616,415,10,4,7,401
141,2026-05-03 12:57:58,12,tech,12530,10583,370,151,176,553
142,2026-02-28 10:13:23,10,design,768,673,51,2,1,251
143,2026-05-09 15:39:08,15,tech,2577,1845,67,23,34,337
144,2026-05-31 06:02:49,6,business,9181,7229,81,29,68,127
145,2026-03-04 17:50:45,17,business,31293,23460,696,176,211,162
146,2026-06-06 11:52:00,11,design,1699,1334,67,8,5,268
147,2026-07-20 00:58:16,0,tech,6686,4897,155,68,94,431
148,2026-08-10 15:45:18,15,tech,8292,7419,203,52,100,524
149,2026-07-29 17:27:44,17,tech,8940,6483,168,76,58,418
150,2026-07-11 15:45:37,15,business,6242,5621,69,30,24,123
151,2026-06-12 09:56:50,9,design,3008,2203,134,10,10,283
152,2026-04-20 21:48:48,21,design,1146,992,80,7,3,308
153,2026-06-09 08:52:13,8,business,31394,27951,720,123,162,137
154,2026-07-16 14:10:27,14,business,9968,9093,195,39,74,119
155,2026-02-23 11:58:59,11,tech,459,336,8,2,3,511
156,2026-03-23 10:13:57,10,design,29365,27760,1569,181,117,254
157,2026-06-10 10:29:43,10,tech,2139,1677,64,15,29,399
158,2026-02-28 20:15:25,20,design,3984,2993,209,19,12,254
159,2026-04-26 09:10:33,9,design,2725,1987,173,13,4,310
160,2026-03-14 08:04:38,8,tech,12053,11085,264,57,145,473
161,2026-05-07 09:46:05,9,design,16198,13672,727,92,69,280
162,2026-07-02 02:30:01,2,tech,153,128,3,0,1,361
163,2026-02-23 11:57:37,11,design,70735,53847,3918,213,169,222
164,2026-02-21 18:20:31,18,tech,2358,1786,38,23,15,359
165,2026-03-31 14:14:24,14,design,3319,2694,219,14,15,341
166,2026-05-09 17:09:57,17,design,18055,16054,1049,126,41,276
167,2026-08-11 15:19:57,15,business,196,131,2,0,0,203
168,2026-05-27 07:46:22,7,business,4897,3405,93,31,20,136
169,2026-05-19 10:09:14,10,design,17587,12174,1027,32,53,344
170,2026-07-15 08:51:51,8,design,9926,9398,601,29,39,280
171,2026-03-31 09:22:11,9,design,9602,8019,415,55,23,302
172,2026-07-10 01:38:05,1,tech,3197,3008,100,24,27,454
173,2026-03-18 08:00:49,8,design,4526,3886,316,12,23,278
174,2026-04-25 12:20:03,12,business,3265,2430,66,17,13,140
175,2026-07-27 08:37:42,8,business,9679,9057,239,31,87,115
176,2026-05-31 14:00:56,14,tech,4330,3872,154,30,51,378
177,2026-04-14 20:03:52,20,business,1251,1064,20,9,4,112
178,2026-07-08 14:50:45,14,design,14694,9785,728,26,30,302
179,2026-06-28 13:02:36,13,tech,2207,2030,72,27,39,466
180,2026-04-20 11:46:39,11,design,10923,9267,473,28,40,280
181,2026-03-10 12:20:53,12,design,5229,4112,222,25,21,367
182,2026-03-08 17:33:16,17,business,1716,1355,24,6,12,132
183,2026-07-28 18:36:43,18,tech,1706,1161,39,9,14,473
184,2026-08-01 17:23:58,17,tech,631,489,12,2,4,400
185,2026-07-15 17:47:05,17,tech,5331,4065,92,50,58,560
186,2026-08-05 09:05:49,9,business,13218,8781,154,65,62,98
187,2026-04-14 13:39:02,13,tech,40028,26666,845,354,389,272
188,2026-04-16 16:28:45,16,tech,569,377,14,3,4,346
189,2026-07-13 18:05:20,18,tech,19393,12617,489,188,120,504
190,2026-05-20 18:07:47,18,tech,3390,2785,97,17,32,416
191,2026-03-11 19:40:01,19,design,17011,14513,1238,35,41,309
192,2026-04-10 10:11:10,10,tech,563,510,12,5,7,470
193,2026-08-02 23:44:09,23,business,947,690,17,3,3,175
194,2026-06-22 16:16:34,16,design,520,463,29,1,1,361
195,2026-02-23 11:09:17,11,tech,3069,2411,90,29,44,334
196,2026-03-24 09:20:54,9,design,4273,4015,344,29,20,281
197,2026-07-07 18:36:42,18,tech,5202,3940,125,28,65,462
198,2026-08-16 02:10:40,2,tech,560,411,12,2,5,295
199,2026-05-13 09:46:24,9,design,575,434,32,1,2,270
200,2026-03-15 11:45:18,11,business,18443,13616,381,130,81,155
201,2026-08-05 14:59:23,14,tech,8893,7035,277,102,73,395
202,2026-04-21 05:46:09,5,design,3346,2435,156,8,10,325
203,2026-07-02 13:19:10,13,business,4879,3230,36,13,25,150
204,2026-05-13 05:39:52,5,tech,1485,1353,36,11,13,339
205,2026-02-22 14:56:15,14,tech,14395,12000,296,125,215,516
206,2026-04-11 17:58:37,17,tech,1519,1018,35,7,16,538
207,2026-08-10 09:50:05,9,tech,11699,8458,259,66,113,355
208,2026-06-18 12:16:10,12,design,19523,16471,1013,101,77,339
209,2026-07-02 11:49:30,11,tech,4697,3910,155,48,35,213
210,2026-08-06 08:04:10,8,business,5974,5337,111,43,50,97
211,2026-08-12 08:47:50,8,design,2028,1686,150,3,4,221
212,2026-04-16 17:04:06,17,design,12688,9076,757,44,38,379
213,2026-04-14 21:12:43,21,tech,20871,14606,405,149,145,384
214,2026-03-31 08:49:10,8,design,1063,754,50,3,2,284
215,2026-08-18 00:06:49,0,business,5619,4403,79,40,20,171
216,2026-05-10 19:04:29,19,business,886,609,10,2,5,137
217,2026-04-17 10:03:34,10,design,8229,7023,623,30,18,349
218,2026-03-27 17:24:58,17,business,6706,5779,107,52,51,171
219,2026-03-03 17:49:20,17,business,13650,11254,280,89,52,187
220,2026-05-17 08:38:28,8,design,1586,1304,68,4,4,262
221,2026-02-25 05:37:36,5,tech,351,270,5,3,4,442
222,2026-03-04 17:30:47,17,tech,5632,4186,135,58,72,376
223,2026-04-28 20:26:51,20,tech,2575,1899,68,14,31,354
224,2026-03-13 09:07:33,9,tech,8971,6038,189,41,97,432
225,2026-08-15 15:31:12,15,design,5371,4235,316,33,8,292
226,2026-07-01 10:22:32,10,tech,1573,1037,23,8,15,270
227,2026-03-17 13:06:19,13,design,3959,3597,319,18,19,374
228,2026-07-25 12:17:53,12,design,1795,1193,98,2,5,237
229,2026-06-11 11:51:56,11,business,34437,28682,371,114,140,104
230,2026-08-15 17:24:34,17,business,548,404,5,3,2,178
231,2026-03-04 22:01:00,22,tech,3599,2943,82,42,33,245
232,2026-02-28 17:15:29,17,tech,4841,3373,96,41,44,542
233,2026-08-03 12:49:01,12,business,1429,983,24,3,7,149
234,2026-07-16 11:10:57,11,design,6968,6507,390,41,16,274
235,2026-02-21 09:52:49,9,tech,5095,4731,162,48,69,556
236,2026-06-26 18:06:55,18,design,2845,2220,121,5,7,323
237,2026-05-21 09:45:22,9,design,2378,2159,189,11,5,306
238,2026-04-24 08:29:10,8,tech,5563,4850,191,26,69,593
239,2026-06-13 11:54:20,11,business,31880,26834,743,154,223,94
240,2026-02-22 17:01:50,17,tech,30788,25436,738,183,299,257
241,2026-04-08 14:05:02,14,business,2934,2675,54,24,10,118
242,2026-07-12 05:46:15,5,tech,276,228,7,2,2,328
243,2026-05-02 11:09:21,11,tech,686,649,20,7,5,361
244,2026-04-09 08:09:30,8,tech,14797,9656,364,64,132,357
245,2026-08-13 12:19:18,12,design,8038,6716,491,29,18,326
246,2026-04-28 08:05:27,8,business,9668,6340,80,60,32,148
247,2026-08-14 16:54:36,16,tech,14522,10996,270,107,103,388
248,2026-04-23 15:57:46,15,business,2235,1534,34,10,13,149
249,2026-05-11 18:47:03,18,business,14373,11721,174,95,112,129
250,2026-04-02 10:26:02,10,design,843,634,34,1,3,357
251,2026-05-27 15:02:41,15,tech,1500,1011,34,7,9,421
252,2026-06-07 08:16:11,8,tech,10917,7341,243,108,123,292
253,2026-02-21 14:55:54,14,business,5801,4702,47,31,30,135
254,2026-06-14 18:34:17,18,business,20800,16703,338,151,152,146
255,2026-03-28 09:53:12,9,tech,8645,6798,240,57,134,580
256,2026-05-20 10:37:06,10,design,4434,3197,264,12,17,411
257,2026-08-10 18:41:24,18,business,11659,10143,141,30,64,75
258,2026-05-07 12:28:57,12,design,1425,1001,65,5,3,351
259,2026-06-03 08:25:40,8,tech,11199,10627,260,112,102,346
260,2026-03-25 19:37:17,19,design,3362,3178,204,13,11,383
261,2026-07-09 15:13:38,15,tech,1318,1120,29,6,14,550
262,2026-06-18 09:13:18,9,tech,9332,8451,327,55,113,392
263,2026-08-09 10:33:43,10,tech,12710,8458,191,103,108,513
264,2026-04-08 13:17:11,13,design,269,236,13,0,1,223
265,2026-03-23 23:09:21,23,tech,30931,25611,825,360,291,481
266,2026-07-10 21:03:48,21,design,2589,1702,119,5,10,253
267,2026-02-22 19:29:24,19,business,2124,1990,27,10,10,165
268,2026-07-18 17:43:02,17,business,6103,4114,48,40,21,148
269,2026-08-02 18:56:10,18,design,1381,1177,103,8,3,331
270,2026-03-14 04:08:25,4,design,11387,8400,713,38,26,259
271,2026-04-05 15:06:53,15,tech,826,552,21,6,6,482
272,2026-06-20 14:01:21,14,design,681,598,43,4,1,276
273,2026-04-30 07:05:40,7,tech,1534,1189,29,7,15,354
274,2026-02-27 10:31:01,10,business,5816,4883,119,23,34,165
275,2026-05-16 13:16:39,13,tech,7439,5740,222,35,70,402
276,2026-07-19 17:38:05,17,design,7358,4921,272,30,16,361
277,2026-05-05 09:50:29,9,design,406,317,23,1,1,291
278,2026-07-11 18:12:37,18,tech,15203,13964,443,122,229,544
279,2026-08-13 10:14:31,10,tech,11374,9643,212,48,93,561
280,2026-04-12 16:06:51,16,design,24928,17876,1495,48,72,396
281,2026-05-20 14:39:35,14,design,2687,2203,159,11,8,352
282,2026-04-21 17:33:36,17,tech,18766,13402,344,199,267,453
283,2026-03-28 15:12:24,15,tech,9825,6670,211,58,100,532
284,2026-05-20 13:08:50,13,business,1676,1425,31,8,13,109
285,2026-07-22 09:03:47,9,design,8070,7462,542,28,21,299
286,2026-03-15 09:43:24,9,tech,22522,19653,504,111,275,467
287,2026-04-25 17:01:20,17,tech,3426,3197,116,40,28,600
288,2026-08-04 17:38:37,17,tech,6493,5873,136,46,90,338
289,2026-07-26 09:03:37,9,business,1408,1308,33,11,5,139
290,2026-06-30 16:13:39,16,design,10672,7180,410,51,28,228
291,2026-06-10 12:33:48,12,tech,5683,4716,167,24,91,501
292,2026-08-18 18:35:08,18,tech,11058,9605,310,73,112,392
293,2026-04-08 11:49:42,11,design,1264,922,50,3,4,268
294,2026-05-11 16:48:13,16,tech,5702,3977,100,22,45,410
295,2026-03-21 06:51:48,6,business,24333,21301,324,125,98,79
296,2026-05-18 10:32:37,10,tech,3634,2916,64,17,36,314
297,2026-03-22 12:16:13,12,tech,2799,1847,64,15,33,367
298,2026-06-29 11:43:32,11,tech,5289,4220,152,43,42,362
299,2026-04-06 19:49:17,19,business,3215,2692,71,12,16,103
300,2026-07-26 10:28:17,10,business,883,587,5,3,5,103
301,2026-05-05 08:26:18,8,tech,2476,2157,63,31,34,304
302,2026-02-27 12:02:25,12,tech,4773,4461,176,59,44,387
303,2026-03-07 15:32:13,15,tech,3537,2886,64,30,39,450
304,2026-04-25 11:43:09,11,business,2341,2132,37,12,20,148
305,2026-07-23 15:39:25,15,business,4404,2944,73,9,25,176
306,2026-07-04 16:49:42,16,tech,756,633,19,4,6,516
307,2026-02-22 16:54:15,16,tech,3343,2970,107,37,49,400
308,2026-05-03 18:55:01,18,tech,15685,10811,253,154,144,282
309,2026-06-13 12:27:37,12,design,3512,2483,169,15,8,321
310,2026-05-20 11:46:34,11,design,1085,888,51,2,4,312
311,2026-03-26 08:47:34,8,tech,10084,8902,315,78,160,288
312,2026-07-01 10:16:56,10,tech,1426,1109,24,14,18,369
313,2026-02-25 09:54:05,9,tech,2181,1641,49,9,25,312
314,2026-05-15 16:04:38,16,business,5548,3874,48,17,30,138
315,2026-07-19 17:27:51,17,business,29915,26347,481,137,258,178
316,2026-08-04 16:02:10,16,tech,4071,3673,144,26,71,640
317,2026-04-17 19:21:01,19,design,2618,1789,142,5,8,190
318,2026-06-28 10:01:31,10,tech,18180,12250,453,119,192,312
319,2026-07-14 13:08:38,13,tech,20036,15217,400,91,284,393
320,2026-02-24 11:29:35,11,design,3648,2575,224,17,15,349
321,2026-07-15 11:36:48,11,tech,10594,8999,292,68,96,493
322,2026-03-03 06:46:23,6,tech,5142,4496,159,41,58,405
323,2026-04-30 18:30:17,18,tech,67369,45131,1405,313,676,490
324,2026-06-15 17:23:03,17,tech,3361,2731,84,33,54,432
325,2026-03-19 08:08:39,8,design,25256,21769,1637,132,48,351
326,2026-08-16 23:37:43,23,tech,18400,12491,340,118,146,417
327,2026-03-05 16:17:28,16,business,4439,3690,86,28,26,123
328,2026-04-09 11:45:36,11,tech,4704,4353,148,62,45,388
329,2026-03-21 08:59:10,8,tech,1648,1151,36,16,22,306
330,2026-03-11 14:39:37,14,tech,1433,949,31,7,10,395
331,2026-04-02 15:22:36,15,tech,1237,935,33,9,15,369
332,2026-05-17 08:48:10,8,tech,15016,12143,462,94,157,460
333,2026-07-13 17:09:07,17,business,2090,1700,26,7,16,142
334,2026-08-16 10:06:30,10,tech,1872,1680,41,22,21,496
335,2026-07-25 09:45:42,9,tech,77324,65537,2361,524,1151,496
336,2026-07-25 07:08:42,7,tech,2072,1870,37,27,33,477
337,2026-06-10 12:32:19,12,design,3715,3397,182,25,7,292
338,2026-08-09 11:27:32,11,tech,7477,5304,131,32,57,293
339,2026-05-23 10:57:14,10,tech,39006,32242,892,297,317,238
340,2026-04-20 18:39:50,18,tech,3593,3317,114,29,37,393
341,2026-03-07 19:43:08,19,design,2139,2013,118,8,9,283
342,2026-03-12 09:56:28,9,business,8163,6380,162,62,30,113
343,2026-03-11 20:53:20,20,design,1728,1455,84,8,4,331
344,2026-07-13 17:59:43,17,design,19242,14169,1102,79,41,299
345,2026-06-07 00:19:21,0,tech,1793,1465,41,21,19,455
346,2026-03-05 09:38:55,9,tech,18838,17879,459,230,175,466
347,2026-07-10 15:05:51,15,design,26995,21160,1216,131,84,320
348,2026-05-31 19:16:08,19,tech,2965,2329,70,26,33,335
349,2026-05-31 06:19:46,6,design,3770,2699,185,9,15,314
350,2026-03-09 10:35:30,10,business,11951,9742,183,92,42,174
351,2026-08-13 23:27:04,23,design,2215,1495,96,8,7,326
352,2026-02-23 17:14:35,17,business,9349,8024,135,48,39,188
353,2026-06-10 10:29:10,10,design,1127,928,49,3,2,295
354,2026-03-29 11:53:44,11,tech,1522,1081,21,11,20,359
355,2026-06-18 17:52:08,17,tech,3508,2930,116,25,43,281
356,2026-08-07 11:48:44,11,business,2139,1530,37,13,14,126
357,2026-07-23 09:27:17,9,design,4094,2715,147,17,9,383
358,2026-08-05 17:36:23,17,design,9163,6820,543,48,14,291
359,2026-03-24 14:30:06,14,business,13257,11227,129,90,69,142
360,2026-06-09 22:18:47,22,design,3907,2897,216,10,5,310
361,2026-03-11 14:10:44,14,design,9297,6205,345,31,15,296
362,2026-07-10 17:43:19,17,business,3173,2598,47,17,23,115
363,2026-04-12 06:50:38,6,tech,1347,1034,32,7,19,548
364,2026-08-09 17:11:47,17,design,36577,34305,1734,227,86,342
365,2026-05-12 15:41:33,15,tech,67359,44609,1093,432,800,448
366,2026-04-20 13:58:05,13,design,347,284,16,1,1,317
367,2026-04-01 09:46:31,9,tech,545,514,13,4,4,323
368,2026-05-27 13:47:42,13,tech,720,517,19,2,7,391
369,2026-05-24 17:01:46,17,tech,2736,1885,44,13,36,399
370,2026-06-04 08:59:30,8,design,3427,2883,193,15,12,326
371,2026-07-08 07:06:34,7,business,1464,1257,20,5,11,166
372,2026-08-13 15:08:57,15,tech,4286,3603,137,21,67,304
373,2026-08-13 13:32:52,13,business,703,561,11,5,2,144
374,2026-08-12 12:55:08,12,design,4369,3040,249,10,16,315
375,2026-06-18 18:06:07,18,design,1706,1423,98,9,4,414
376,2026-08-19 08:33:36,8,design,4947,3986,301,10,19,275
377,2026-08-05 10:48:11,10,tech,6005,5554,147,42,67,405
378,2026-04-03 17:24:21,17,design,798,597,53,2,3,239
379,2026-07-24 16:44:14,16,design,1131,894,63,5,4,330
380,2026-04-15 16:29:54,16,tech,17143,16087,497,131,137,357
381,2026-04-10 17:40:37,17,design,3213,2458,162,7,11,347
382,2026-06-03 10:35:26,10,design,18872,12812,1038,74,25,181
383,2026-07-28 08:17:55,8,design,4871,3555,180,11,18,385
384,2026-06-16 16:56:48,16,business,345,283,6,1,1,137
385,2026-05-30 13:34:03,13,design,4972,4156,280,12,16,259
386,2026-05-10 07:26:48,7,tech,328,298,9,3,4,232
387,2026-05-03 18:58:22,18,design,3287,2797,162,16,10,335
388,2026-04-22 15:10:22,15,business,1915,1784,50,10,17,130
389,2026-08-16 21:35:24,21,business,3997,2854,55,16,24,134
390,2026-05-23 18:08:10,18,tech,92602,60943,1782,494,1139,468
391,2026-07-29 11:05:41,11,design,5243,3799,251,9,22,296
392,2026-08-14 17:26:10,17,tech,1452,1120,42,8,17,422
393,2026-04-21 12:45:16,12,tech,17857,16128,481,117,161,364
394,2026-03-29 17:29:40,17,design,6662,5905,415,45,17,238
395,2026-07-19 18:08:22,18,tech,7374,6200,158,64,112,599
396,2026-08-10 18:20:44,18,tech,2719,2338,50,20,43,373
397,2026-06-29 09:52:52,9,tech,3472,2803,80,21,43,257
398,2026-03-27 12:29:37,12,tech,2780,2083,62,29,25,261
399,2026-06-09 17:20:42,17,tech,6331,4357,138,54,48,473
400,2026-08-09 17:09:18,17,tech,5193,4713,151,28,46,561
401,2026-05-06 08:25:08,8,tech,17976,13873,373,92,245,464
402,2026-05-12 18:02:12,18,design,3780,2787,148,20,9,291
403,2026-08-13 08:33:01,8,tech,1761,1471,44,20,19,308
404,2026-03-22 15:10:35,15,design,4331,3412,223,10,12,294
405,2026-05-11 08:56:38,8,tech,708,508,18,4,4,403
406,2026-07-20 09:07:34,9,design,973,861,45,2,3,257
407,2026-04-29 15:00:24,15,tech,6920,6398,195,37,69,284
408,2026-06-28 10:09:19,10,tech,3685,3029,91,30,45,529
409,2026-05-14 13:13:10,13,tech,5318,4622,171,64,56,528
410,2026-03-31 08:38:15,8,tech,10810,9060,298,115,180,422
411,2026-08-08 18:33:21,18,design,1846,1667,120,3,6,288
412,2026-04-28 09:56:31,9,design,588,489,26,1,1,266
413,2026-08-07 07:53:24,7,business,910,708,18,3,3,125
414,2026-05-20 07:46:47,7,tech,6513,5298,210,40,69,401
415,2026-07-24 13:38:17,13,tech,855,600,13,4,7,401
416,2026-04-13 16:52:07,16,design,1977,1423,72,4,4,272
417,2026-07-21 10:23:27,10,business,18149,11911,251,104,70,99
418,2026-07-05 17:46:28,17,tech,5355,4460,124,37,44,449
